Number	Associated	TaxRank	MinScore	NextMaxScore
10280	Vhmlvirus	Genus	279:08:00	266:04:00
1023	Betaarterivirus	Genus	160:08:00	158:08:00
1013	Betaarterivirus	Genus	183:09:00	168:04:00
1012	Betaarterivirus	Genus	266:08:00	220:02:00
7112	Mimivirus	Genus	196:01:00	173:07:00
7538	Mimivirus	Genus	281:06:00	190:03:00
1343	Alphavirus	Genus	135:00:00	
1025	Betaarterivirus	Genus	93:08:00	78:02:00
1026	Betaarterivirus	Genus	95:01:00	85:03:00
11703	Jilinvirus	Genus	123:04:00	87:02:00
5005	Cronusvirus	Genus	207:01:00	158:02:00
12194	Prasinovirus	Genus	262:09:00	257:08:00
1897	Jerseyvirus	Genus	188:05:00	188:03:00
7806	Mimivirus	Genus	252:08:00	180:01:00
6506	Alphacoronavirus	Genus	81:04:00	
6935	Mimivirus	Genus	156:07:00	74:07:00
18703	Cequinquevirus	Genus	128:09:00	119:05:00
29096	Sextaecvirus	Genus	207:01:00	110:08:00
16393	Titanvirus	Genus	823:03:00	760:09:00
1010	Betaarterivirus	Genus	460:09:00	407:06:00
6385	Cytomegalovirus	Genus	309:05:00	57:09:00
7812	Mimivirus	Genus	328:03:00	299:06:00
23782	Tinduovirus	Genus	581:03:00	348:03:00
4898	Cinunavirus	Genus	415:09:00	206:02:00
693	Metapneumovirus	Genus	263:07:00	262:00:00
10031	Bixzunavirus	Genus	2013:08:00	156:00:00
25220	Chlorovirus	Genus	389:05:00	150:06:00
19393	Pandoravirus	Genus	724:03:00	97:00:00
15515	Cafeteriavirus	Genus	393:09:00	346:07:00
15686	Gilesvirus	Genus	284:06:00	253:08:00
25142	Chlorovirus	Genus	220:02:00	100:00:00
244	Closterovirus	Genus	282:05:00	
1346	Alphavirus	Genus	158:09:00	64:02:00
26050	Chloriridovirus	Genus	464:00:00	453:03:00
24336	Phayoncevirus	Genus	183:03:00	145:05:00
17558	Mimivirus	Genus	582:04:00	101:07:00
4821	Septimatrevirus	Genus	178:09:00	171:05:00
7815	Mimivirus	Genus	444:05:00	340:05:00
1436	Rhadinovirus	Genus	171:04:00	73:08:00
4378	Cyprinivirus	Genus	114:04:00	114:03:00
1345	Alphavirus	Genus	66:09:00	
7981	Mimivirus	Genus	297:05:00	249:09:00
15216	Cafeteriavirus	Genus	447:08:00	363:09:00
17851	Elvirus	Genus	210:06:00	184:05:00
17114	Xiamenvirus	Genus	445:04:00	382:07:00
7540	Mimivirus	Genus	1250:06:00	775:00:00
4560	Dhakavirus	Genus	198:01:00	196:05:00
3790	Asfivirus	Genus	250:03:00	192:05:00
4118	Cytomegalovirus	Genus	164:01:00	160:07:00
4835	Bifseptvirus	Genus	359:06:00	337:03:00
8021	Mimivirus	Genus	235:05:00	216:06:00
1016	Betaarterivirus	Genus	67:04:00	33:05:00
10925	Bixzunavirus	Genus	400:09:00	261:03:00
26551	Klementvirus	Genus	1854:00:00	1781:04:00
23623	Vequintavirus	Genus	1304:02:00	1008:05:00
6504	Alphacoronavirus	Genus	178:09:00	58:03:00
18539	Siminovitchvirus	Genus	159:03:00	106:01:00
19625	Pandoravirus	Genus	393:06:00	95:09:00
7880	Mimivirus	Genus	521:06:00	322:00:00
9682	Lagovirus	Genus	356:06:00	37:05:00
5893	Dhakavirus	Genus	203:04:00	199:07:00
4955	Alcyoneusvirus	Genus	893:03:00	830:04:00
7994	Pecentumvirus	Genus	180:01:00	128:05:00
18018	Lessievirus	Genus	120:01:00	117:04:00
31021	Otagovirus	Genus	173:07:00	154:00:00
20599	Seunavirus	Genus	1080:09:00	979:09:00
22673	Timquatrovirus	Genus	172:08:00	129:05:00
3	Pegivirus	Genus	40:07:00	
12139	Abouovirus	Genus	206:07:00	205:09:00
6428	Ebolavirus	Genus	1003:03:00	1002:06:00
21618	Kayvirus	Genus	565:02:00	469:04:00
14066	Hawkeyevirus	Genus	143:03:00	134:09:00
19415	Pandoravirus	Genus	218:04:00	95:01:00
6917	Mimivirus	Genus	322:07:00	283:03:00
19593	Pandoravirus	Genus	498:03:00	110:01:00
5010	Zindervirus	Genus	231:01:00	176:02:00
5733	Inhavirus	Genus	194:09:00	151:05:00
19335	Pandoravirus	Genus	286:07:00	120:08:00
21747	Popoffvirus	Genus	670:09:00	453:01:00
23430	Gordtnkvirus	Genus	367:03:00	240:05:00
19333	Pandoravirus	Genus	219:07:00	108:03:00
8398	Norovirus	Genus	34:07:00	
10032	Pegunavirus	Genus	1395:01:00	816:02:00
22233	Timquatrovirus	Genus	466:03:00	243:02:00
719	Erythroparvovirus	Genus	42:08:00	
7544	Mimivirus	Genus	567:01:00	510:02:00
27404	Yuavirus	Genus	353:02:00	73:01:00
13154	Mimivirus	Genus	125:00:00	89:07:00
12456	Timquatrovirus	Genus	310:01:00	299:09:00
255	Closterovirus	Genus	60:01:00	33:04:00
12385	Lentivirus	Genus	726:06:00	
23025	Kuravirus	Genus	926:05:00	321:05:00
717	Erythroparvovirus	Genus	41:03:00	
14713	Fromanvirus	Genus	142:06:00	118:09:00
24480	Xiamenvirus	Genus	117:03:00	115:08:00
3425	Avipoxvirus	Genus	404:02:00	129:00:00
11106	Gaiavirus	Genus	959:04:00	388:09:00
11270	Unaquatrovirus	Genus	254:00:00	105:09:00
25591	Lomovskayavirus	Genus	375:09:00	353:04:00
21854	Mapvirus	Genus	233:05:00	156:00:00
23512	Orthopneumovirus	Genus	240:01:00	154:01:00
26957	Lessievirus	Genus	337:03:00	300:08:00
1342	Alphavirus	Genus	196:09:00	
2984	Lentivirus	Genus	447:04:00	
22672	Omegavirus	Genus	194:00:00	175:07:00
1033	Betaarterivirus	Genus	162:03:00	132:09:00
23417	Gordtnkvirus	Genus	409:09:00	368:02:00
233	Norovirus	Genus	43:08:00	
15395	Mimivirus	Genus	138:01:00	65:09:00
4816	Septimatrevirus	Genus	139:01:00	135:08:00
1344	Alphavirus	Genus	249:03:00	39:07:00
698	Metapneumovirus	Genus	287:08:00	39:07:00
27857	Helsingorvirus	Genus	207:08:00	203:02:00
3766	Asfivirus	Genus	301:00:00	218:00:00
24028	Emdodecavirus	Genus	399:02:00	226:01:00
8578	Cytomegalovirus	Genus	324:03:00	83:09:00
14187	Chunghsingvirus	Genus	315:05:00	155:02:00
19557	Pandoravirus	Genus	168:08:00	59:05:00
327	Lyssavirus	Genus	358:04:00	34:01:00
25216	Chlorovirus	Genus	583:01:00	101:01:00
7595	Mimivirus	Genus	147:07:00	128:03:00
12138	Jimmervirus	Genus	588:07:00	587:07:00
20062	Marseillevirus	Genus	1261:07:00	158:05:00
7885	Mimivirus	Genus	219:04:00	87:01:00
10928	Mardecavirus	Genus	183:02:00	162:05:00
349	Lentivirus	Genus	66:09:00	
25494	Alphavirus	Genus	46:03:00	
733	Pestivirus	Genus	33:06:00	
6677	Metapneumovirus	Genus	208:03:00	96:03:00
17569	Mimivirus	Genus	237:07:00	199:06:00
24502	Patiencevirus	Genus	4635:05:00	2277:08:00
1349	Alphavirus	Genus	49:03:00	
7800	Mimivirus	Genus	313:08:00	268:08:00
14441	Chenonavirus	Genus	216:05:00	215:09:00
2039	Lentivirus	Genus	1062:03:00	
9503	Liefievirus	Genus	524:03:00	522:00:00
11069	Bixzunavirus	Genus	581:08:00	175:05:00
10978	Bixzunavirus	Genus	2292:07:00	157:05:00
12311	Prasinovirus	Genus	166:00:00	150:03:00
17063	Ascovirus	Genus	115:09:00	113:02:00
19161	Pandoravirus	Genus	133:04:00	101:09:00
10460	Fletchervirus	Genus	164:05:00	147:04:00
6515	Megalocytivirus	Genus	219:03:00	83:08:00
16942	Seuratvirus	Genus	255:04:00	226:03:00
27083	Yokohamavirus	Genus	117:02:00	52:08:00
10819	Pegunavirus	Genus	3139:04:00	2920:00:00
1020	Betaarterivirus	Genus	53:03:00	43:00:00
211	Deltavirus	Genus	118:04:00	
17069	Ascovirus	Genus	405:02:00	73:01:00
8365	Ranavirus	Genus	147:04:00	134:06:00
19493	Pandoravirus	Genus	94:02:00	59:06:00
30929	Liefievirus	Genus	337:02:00	274:05:00
7479	Mimivirus	Genus	628:05:00	538:01:00
24479	Cronusvirus	Genus	547:02:00	514:07:00
18918	Pandoravirus	Genus	164:06:00	142:07:00
13787	Webervirus	Genus	353:06:00	338:04:00
11729	Badnavirus	Genus	1592:03:00	1511:06:00
1988	Kostyavirus	Genus	365:08:00	283:03:00
7817	Mimivirus	Genus	199:01:00	187:00:00
19392	Pandoravirus	Genus	287:04:00	82:00:00
11572	Vequintavirus	Genus	255:00:00	235:05:00
21617	Perisivirus	Genus	167:05:00	111:08:00
8146	Mimivirus	Genus	332:02:00	198:09:00
23982	Emdodecavirus	Genus	86:02:00	58:03:00
1018	Betaarterivirus	Genus	255:04:00	
27615	Chlorovirus	Genus	331:04:00	254:05:00
6127	Kayvirus	Genus	185:02:00	181:02:00
1017	Betaarterivirus	Genus	134:06:00	121:00:00
10026	Bixzunavirus	Genus	1069:07:00	812:07:00
27718	Oshimavirus	Genus	272:07:00	244:01:00
17798	Cafeteriavirus	Genus	164:01:00	130:01:00
25045	Chlorovirus	Genus	173:02:00	106:02:00
24451	Cequinquevirus	Genus	458:01:00	158:08:00
24483	Cronusvirus	Genus	491:08:00	426:05:00
5738	Kostyavirus	Genus	414:05:00	167:09:00
30392	Erskinevirus	Genus	142:04:00	131:02:00
22400	Enhodamvirus	Genus	456:06:00	92:06:00
12713	Friunavirus	Genus	112:00:00	104:03:00
305	Orthohepevirus	Genus	100:06:00	51:06:00
28066	Klosneuvirus	Genus	1703:08:00	455:05:00
22901	Steinhofvirus	Genus	660:01:00	286:01:00
7664	Mimivirus	Genus	868:07:00	752:02:00
22900	Steinhofvirus	Genus	908:04:00	620:04:00
18686	Abouovirus	Genus	161:04:00	160:00:00
1236	Rubivirus	Genus	580:08:00	
29239	Alcyoneusvirus	Genus	404:03:00	315:02:00
10386	Firehammervirus	Genus	516:07:00	274:07:00
8106	Mimivirus	Genus	403:01:00	116:00:00
26979	Lessievirus	Genus	2438:04:00	1469:01:00
28082	Dhillonvirus	Genus	788:00:00	379:02:00
19256	Pandoravirus	Genus	316:07:00	176:09:00
18468	Slashvirus	Genus	545:06:00	400:07:00
29268	Popoffvirus	Genus	323:09:00	320:05:00
7211	Pithovirus	Genus	406:08:00	258:01:00
11717	Yokohamavirus	Genus	438:02:00	433:07:00
19234	Pandoravirus	Genus	447:00:00	109:02:00
15041	Prasinovirus	Genus	165:05:00	89:04:00
19448	Pandoravirus	Genus	488:00:00	153:04:00
20973	Tritimovirus	Genus	196:03:00	150:08:00
7946	Mimivirus	Genus	826:04:00	679:09:00
1034	Betaarterivirus	Genus	82:01:00	34:04:00
24478	Xiamenvirus	Genus	648:04:00	540:04:00
7299	Mimivirus	Genus	332:07:00	69:05:00
8283	Mimivirus	Genus	407:02:00	206:06:00
18995	Pandoravirus	Genus	280:07:00	151:05:00
2261	Whispovirus	Genus	216:00:00	153:02:00
7358	Mimivirus	Genus	248:03:00	227:00:00
18982	Pandoravirus	Genus	191:01:00	70:01:00
17547	Mimivirus	Genus	129:00:00	108:08:00
27033	Rauchvirus	Genus	874:07:00	862:06:00
25204	Chlorovirus	Genus	896:06:00	740:08:00
27926	Mieseafarmvirus	Genus	218:06:00	75:04:00
3327	Alphacoronavirus	Genus	70:09:00	
1	Pegivirus	Genus	76:00:00	66:02:00
615	Gallivirus	Genus	128:01:00	126:08:00
27148	Seunavirus	Genus	274:00:00	144:07:00
26466	Chenonavirus	Genus	106:00:00	99:08:00
8450	Megalocytivirus	Genus	395:06:00	186:08:00
3384	Avipoxvirus	Genus	521:08:00	324:08:00
22005	Corndogvirus	Genus	135:08:00	110:01:00
17374	Mimivirus	Genus	347:06:00	283:02:00
7532	Mimivirus	Genus	261:08:00	212:05:00
1021	Betaarterivirus	Genus	79:00:00	
27364	Dhillonvirus	Genus	154:06:00	142:06:00
26009	Lightbulbvirus	Genus	431:07:00	308:07:00
19022	Pandoravirus	Genus	232:02:00	125:05:00
23744	Emdodecavirus	Genus	71:04:00	58:07:00
891	Salasvirus	Genus	666:01:00	614:02:00
1038	Dyoepsilonpapillomavirus	Genus	179:09:00	171:05:00
20562	Corndogvirus	Genus	423:06:00	283:09:00
2537	Capripoxvirus	Genus	1307:01:00	1293:04:00
8697	Pecentumvirus	Genus	131:05:00	96:05:00
13972	Omegavirus	Genus	454:01:00	409:05:00
7958	Mimivirus	Genus	374:01:00	325:04:00
14018	Omegavirus	Genus	113:04:00	99:09:00
27384	Yuavirus	Genus	212:08:00	102:03:00
5550	Klosneuvirus	Genus	2526:07:00	768:01:00
29100	Certrevirus	Genus	289:06:00	241:07:00
16501	Becurtovirus	Genus	212:09:00	54:06:00
27341	Rotavirus	Genus	55:00:00	37:09:00
8213	Mimivirus	Genus	365:02:00	125:02:00
18712	Nonagvirus	Genus	120:02:00	119:06:00
23501	Titanvirus	Genus	714:00:00	353:01:00
3031	Firehammervirus	Genus	811:09:00	753:09:00
2957	Salasvirus	Genus	514:00:00	362:05:00
19594	Pandoravirus	Genus	459:06:00	280:03:00
19589	Pandoravirus	Genus	244:00:00	97:01:00
2024	Roymovirus	Genus	206:03:00	197:03:00
16069	Caeruleovirus	Genus	228:05:00	227:06:00
3809	Asfivirus	Genus	172:04:00	165:02:00
8696	Certrevirus	Genus	308:02:00	307:07:00
7884	Mimivirus	Genus	223:09:00	92:02:00
19214	Pandoravirus	Genus	316:08:00	97:00:00
8132	Mimivirus	Genus	332:08:00	94:06:00
16935	Septimatrevirus	Genus	486:06:00	472:07:00
11381	Phifelvirus	Genus	186:06:00	184:01:00
3871	Asfivirus	Genus	158:04:00	99:05:00
10985	Bixzunavirus	Genus	194:03:00	135:00:00
8183	Mimivirus	Genus	132:02:00	122:04:00
18796	Lightbulbvirus	Genus	335:08:00	206:01:00
16752	Certrevirus	Genus	207:09:00	204:07:00
129	Cytomegalovirus	Genus	1215:03:00	1179:00:00
23688	Vequintavirus	Genus	204:04:00	57:03:00
22895	Septimatrevirus	Genus	924:08:00	807:08:00
745	Pestivirus	Genus	76:07:00	
4438	Tulanevirus	Genus	181:06:00	181:04:00
7466	Mimivirus	Genus	513:07:00	383:08:00
12040	Bruynoghevirus	Genus	245:00:00	242:03:00
20312	Marseillevirus	Genus	323:07:00	51:09:00
5859	Dhillonvirus	Genus	204:05:00	167:07:00
25668	Betaentomopoxvirus	Genus	233:07:00	188:07:00
3374	Alphatectivirus	Genus	264:01:00	254:00:00
1352	Alphavirus	Genus	104:02:00	36:02:00
15019	Prasinovirus	Genus	606:07:00	484:01:00
7217	Mimivirus	Genus	262:06:00	231:01:00
8265	Mimivirus	Genus	258:02:00	142:07:00
25702	Avipoxvirus	Genus	390:06:00	355:04:00
7079	Mimivirus	Genus	621:01:00	123:08:00
22711	Homburgvirus	Genus	177:00:00	166:00:00
10363	Firehammervirus	Genus	295:09:00	240:05:00
8446	Megalocytivirus	Genus	195:06:00	180:05:00
17343	Mimivirus	Genus	450:03:00	337:06:00
18787	Cbastvirus	Genus	646:06:00	215:06:00
12196	Prasinovirus	Genus	172:07:00	141:04:00
7381	Mimivirus	Genus	493:05:00	317:09:00
25836	Betaentomopoxvirus	Genus	235:00:00	144:03:00
7929	Mimivirus	Genus	482:07:00	460:08:00
30210	Homburgvirus	Genus	195:07:00	188:02:00
15435	Mimivirus	Genus	590:00:00	142:00:00
193	Hepacivirus	Genus	43:06:00	40:07:00
7235	Mimivirus	Genus	96:06:00	91:01:00
12415	Fishburnevirus	Genus	84:03:00	83:07:00
10787	Megalocytivirus	Genus	108:06:00	103:01:00
11163	Kostyavirus	Genus	430:01:00	408:00:00
21987	Corndogvirus	Genus	290:06:00	157:08:00
18501	Siminovitchvirus	Genus	203:06:00	168:04:00
15135	Mimivirus	Genus	289:07:00	225:03:00
20378	Chloriridovirus	Genus	386:07:00	382:03:00
8138	Mimivirus	Genus	842:02:00	533:04:00
10222	Skunavirus	Genus	163:05:00	69:04:00
7970	Mimivirus	Genus	386:07:00	339:01:00
16937	Cbastvirus	Genus	218:07:00	218:00:00
1922	Detrevirus	Genus	209:04:00	199:08:00
20873	Dhakavirus	Genus	314:05:00	281:04:00
11655	Bequatrovirus	Genus	482:02:00	471:08:00
18795	Perisivirus	Genus	412:07:00	159:04:00
7861	Mimivirus	Genus	528:07:00	433:03:00
5513	Steinhofvirus	Genus	363:02:00	172:06:00
520	Hepatovirus	Genus	35:09:00	31:06:00
28542	Prymnesiovirus	Genus	283:03:00	156:03:00
8405	Elvirus	Genus	154:02:00	150:08:00
5998	Tidunavirus	Genus	358:05:00	347:02:00
9988	Bixzunavirus	Genus	1092:05:00	181:08:00
17530	Mimivirus	Genus	584:04:00	386:03:00
7837	Mimivirus	Genus	245:04:00	210:05:00
13314	Tidunavirus	Genus	521:09:00	483:06:00
25252	Chlorovirus	Genus	174:03:00	119:03:00
26171	Lessievirus	Genus	670:02:00	669:08:00
1527	Orthopoxvirus	Genus	642:01:00	623:04:00
7566	Mimivirus	Genus	145:03:00	141:01:00
27334	Tunavirus	Genus	372:09:00	310:04:00
15441	Mimivirus	Genus	529:00:00	165:08:00
22805	Ithacavirus	Genus	159:00:00	146:00:00
519	Hepatovirus	Genus	357:09:00	219:01:00
7263	Mimivirus	Genus	542:00:00	465:00:00
7528	Mimivirus	Genus	277:06:00	181:01:00
7238	Mimivirus	Genus	162:00:00	157:01:00
3057	Karamvirus	Genus	144:06:00	143:08:00
14938	Timquatrovirus	Genus	94:05:00	86:03:00
15040	Prasinovirus	Genus	302:01:00	181:08:00
189	Dyoetapapillomavirus	Genus	839:07:00	837:05:00
15268	Cheoctovirus	Genus	708:01:00	281:09:00
16754	Biquartavirus	Genus	229:09:00	224:09:00
17370	Mimivirus	Genus	321:05:00	282:01:00
31037	Gemytondvirus	Genus	192:01:00	125:06:00
15314	Mimivirus	Genus	448:06:00	259:06:00
2962	Alphanudivirus	Genus	264:06:00	259:02:00
4347	Cyprinivirus	Genus	345:05:00	149:09:00
27716	Sasvirus	Genus	72:08:00	72:01:00
1734	Cervidpoxvirus	Genus	310:00:00	220:03:00
2424	Iridovirus	Genus	156:00:00	147:09:00
10447	Firehammervirus	Genus	609:02:00	296:00:00
937	Caeruleovirus	Genus	811:05:00	695:04:00
10465	Firehammervirus	Genus	237:04:00	205:01:00
7751	Mimivirus	Genus	368:09:00	321:03:00
14386	Omegavirus	Genus	261:00:00	241:08:00
5194	Pegunavirus	Genus	124:03:00	120:02:00
21404	Krischvirus	Genus	160:09:00	131:07:00
8217	Mimivirus	Genus	176:05:00	121:07:00
941	Jedunavirus	Genus	278:05:00	278:03:00
1537	Orthopoxvirus	Genus	293:03:00	289:02:00
26046	Chloriridovirus	Genus	250:08:00	188:02:00
20470	Marseillevirus	Genus	159:08:00	79:04:00
12242	Prasinovirus	Genus	114:08:00	108:00:00
25542	Okubovirus	Genus	285:09:00	254:02:00
8310	Mimivirus	Genus	328:07:00	252:06:00
5608	Tequintavirus	Genus	922:07:00	824:09:00
20391	Marseillevirus	Genus	204:04:00	202:02:00
15280	Mimivirus	Genus	190:02:00	172:06:00
3439	Avipoxvirus	Genus	178:04:00	131:08:00
6602	Megalocytivirus	Genus	341:00:00	262:01:00
13329	Emdodecavirus	Genus	257:04:00	244:09:00
20970	Corndogvirus	Genus	250:04:00	150:02:00
9857	Leporipoxvirus	Genus	452:03:00	420:08:00
20200	Marseillevirus	Genus	127:04:00	115:09:00
25218	Chlorovirus	Genus	484:09:00	192:07:00
25879	Betaentomopoxvirus	Genus	369:02:00	150:06:00
23350	Nonagvirus	Genus	465:04:00	458:07:00
3895	Asfivirus	Genus	514:06:00	65:03:00
19354	Pandoravirus	Genus	555:07:00	362:08:00
7394	Mimivirus	Genus	306:08:00	262:04:00
6342	Orthopoxvirus	Genus	144:05:00	136:02:00
12996	Schizotequatrovirus	Genus	158:04:00	101:07:00
7389	Mimivirus	Genus	742:00:00	196:03:00
18469	Siminovitchvirus	Genus	543:08:00	527:00:00
8214	Cafeteriavirus	Genus	763:06:00	734:05:00
27930	Mieseafarmvirus	Genus	188:01:00	47:04:00
19073	Pandoravirus	Genus	793:02:00	388:07:00
8382	Lentivirus	Genus	31:06:00	
1193	Nankokuvirus	Genus	288:02:00	272:09:00
17526	Mimivirus	Genus	1093:04:00	973:07:00
15093	Mimivirus	Genus	729:05:00	203:01:00
1992	Chunghsingvirus	Genus	870:09:00	749:00:00
8133	Mimivirus	Genus	290:02:00	269:00:00
19166	Pandoravirus	Genus	273:05:00	65:06:00
10361	Firehammervirus	Genus	227:08:00	223:04:00
1941	Vhmlvirus	Genus	98:08:00	97:08:00
5949	Firehammervirus	Genus	339:04:00	317:03:00
8189	Mimivirus	Genus	217:03:00	166:09:00
10467	Firehammervirus	Genus	423:01:00	255:06:00
6062	Lentivirus	Genus	31:04:00	
9187	Invictavirus	Genus	259:04:00	190:04:00
3851	Mimivirus	Genus	437:07:00	393:02:00
10760	Ostreavirus	Genus	1339:02:00	1062:03:00
203	Hepacivirus	Genus	34:08:00	
15800	Pagevirus	Genus	73:06:00	72:07:00
18970	Pandoravirus	Genus	194:02:00	71:02:00
347	Lentivirus	Genus	31:06:00	
1361	Lentivirus	Genus	32:02:00	
8164	Mimivirus	Genus	499:00:00	474:06:00
7077	Mimivirus	Genus	183:07:00	121:08:00
18825	Ficleduovirus	Genus	314:07:00	298:07:00
11274	Septimatrevirus	Genus	1104:03:00	720:00:00
17635	Mimivirus	Genus	599:04:00	192:01:00
9661	Lentivirus	Genus	38:02:00	
14121	Omegavirus	Genus	484:06:00	449:00:00
18403	Flavivirus	Genus	35:00:00	
25570	Siadenovirus	Genus	454:09:00	454:00:00
22540	Chlorovirus	Genus	132:06:00	125:01:00
25658	Betaentomopoxvirus	Genus	387:05:00	93:08:00
11896	Alcyoneusvirus	Genus	175:05:00	172:02:00
27322	Coccolithovirus	Genus	192:07:00	178:06:00
17777	Mimivirus	Genus	344:06:00	196:00:00
